ASV	C1111.F09	C111AG.F10	C111D.F09	C111SV.F15	C111T.F15	C124.F16	C124AG.F13	C124D.F14	C124SV.F14	C124T.F15	C127.F13	C127AG.F15	C127D.F15	C127SV.F13	C127T.F13	C128.F17	C128AG.F17	C128SV.F17	C128T.F17	C14.F15	C14AG.F14	C14D.F16	C14SV.F16	C14T.F15	C15.F10	C15AG.F12	C15D.F10	C15SV.F09	C15T.F11	C18.F12	C18AG.F10	C18D.F16	C18SV.F12	C18T.F10	C19.F09	C19AG.F11	C19D.F12	C19SV.F12	C19T.F10	C20.F16	C20AG.F14	C20D.F15	C20SV.F15	C20T.F14	C27.F10	C27AG.F11	C27D.F09	C27SV.F10	C27T.F11	C28.F15	C28AG.F14	C28D.F15	C28SV.F12	C28T.F14	C30.F11	C30AG.F09	C30D.F09	C30SV.F11	C30T.F12	C37.F11	C37AG.F09	C37D.F09	C37SV.F10	C37T.F11	C39.F15	C39AG.F13	C39D.F16	C39T.F15	C40.F13	C40AG.F12	C40D.F15	C40SV.F14	C40T.F15	C42.F13	C42AG.F13	C42D.F16	C42SV.F15	C42T.F14	C45.F13	C45AG.F14	C45D.F16	C45SV.F15	C45T.F13	C49.F16	C49AG.F16	C49D.F16	C49SV.F16	C49T.F14	C57.F14	C57AG.F16	C57D.F16	C57SV.F14	C57T.F14	C72.F10	C72AG.F11	C72D.F09	C72SV.F12	C72T.F10	C73.F14	C73AG.F14	C73D.F15	C73SV.F13	C73T.F16	C75.F15	C75AG.F13	C75D.F15	C75SV.F13	C75T.F13	C79AG.F16	C79D.F13	C79SV.F15	C79T.F16	C81AG.F16	C81D.F13	C81SV.F16	C81T.F15	C82.F14	C82AG.F13	C82D.F15	C82SV.F12	C82T.F14	C83.F13	C83AG.F13	C83D.F14	C83SV.F13	C83T.F14	C85.F16	C85AG.F14	C85D.F13	C85SV.F16	C85T.F14	C86.F17	C86AG.F17	C86D.F17	C86SV.F17	C86T.F17	C92AG.F14	C92D.F11	C92SV.F11	C92T.F10	C96.F09	C96AG.F09	C96D.F12	C96SV.F11	C96T.F12	BLANK1.F15	BLANK2.F16	BLANK3.F12	BLANK4.F12	BLANK5.F13	BLANK6.F14	BLANK7.F17	NTPCR1.F16	NTPCR2.F16	NTPCR3.F18	ZymoMC.F18
00047cccce136557c69ed7e1235b26a4	0	0	0	21	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00123d038d5ce2aca50c32fbf4e429fc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
003d2d3f36ccc9e4a54577285c48282c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
006e506c453a7345b062ec9449e96d29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
007ccc678cded925b0c6003e70962e89	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
009792680a20775a699473e2ce682761	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	22	0	18	0	0	23	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	31	0	0	0	0	18	38	0	0	35	0	0	11	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
009b6646c4f4bb61a855caf4433d4e46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00c31775b43e4ee8d3e2bb1049fb4d10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00e34a67396dd7778b4004115869d270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00f84e3398c5fc9d8d41c2a68ffc7da4	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	167	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	869	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
