SampleID	PCR_control	Extract_control	maleID	type_ID	type	rearing_container	mass	viability	HighORLow	viability_score	viability_rank	homogenised_block	F	R	total_reads	filtered	denoised	merged	non-chimeric	percentage_kept
C15.F10	FALSE	FALSE	15	S	spermatophore	C	0.6555	0.822	High	1	97	b	F10	R21	14732	9193	9119	8905	8905	60.45
C15AG.F12	FALSE	FALSE	15	AG	accessory_gland	C	0.6555	0.822	High	1	97	b	F12	R16	21381	16921	16704	14747	10564	49.41
C15D.F10	FALSE	FALSE	15	D	digestive_tract	C	0.6555	0.822	High	1	97	b	F10	R13	24405	17423	17366	16912	16889	69.2
C15SV.F09	FALSE	FALSE	15	SV	seminal_vesicle	C	0.6555	0.822	High	1	97	b	F09	R14	4309	3093	3063	2814	2710	62.89
C15T.F11	FALSE	FALSE	15	T	testes	C	0.6555	0.822	High	1	97	b	F11	R22	17805	13294	13245	10743	8990	50.49
C57.F14	FALSE	FALSE	57	S	spermatophore	E	0.5745	0.802	High	1	96	a	F14	R12	13705	8859	8593	8106	8106	59.15
C57AG.F16	FALSE	FALSE	57	AG	accessory_gland	E	0.5745	0.802	High	1	96	a	F16	R02	21731	15664	15498	12769	9717	44.71
C57D.F16	FALSE	FALSE	57	D	digestive_tract	E	0.5745	0.802	High	1	96	a	F16	R01	19843	14155	14089	13830	13830	69.7
C57SV.F14	FALSE	FALSE	57	SV	seminal_vesicle	E	0.5745	0.802	High	1	96	a	F14	R05	17594	12166	12080	11667	11667	66.31
C57T.F14	FALSE	FALSE	57	T	testes	E	0.5745	0.802	High	1	96	a	F14	R09	20473	14696	14565	14113	13676	66.8
C30.F11	FALSE	FALSE	30	S	spermatophore	E	0.477	0.776	High	1	95	b	F11	R14	3863	2327	2301	2210	2210	57.21
C30AG.F09	FALSE	FALSE	30	AG	accessory_gland	E	0.477	0.776	High	1	95	b	F09	R19	7861	6515	6479	6257	5607	71.33
C30D.F09	FALSE	FALSE	30	D	digestive_tract	E	0.477	0.776	High	1	95	b	F09	R16	20841	15683	15634	15240	15228	73.07
C30SV.F11	FALSE	FALSE	30	SV	seminal_vesicle	E	0.477	0.776	High	1	95	b	F11	R23	17435	13889	13779	13589	13548	77.71
C30T.F12	FALSE	FALSE	30	T	testes	E	0.477	0.776	High	1	95	b	F12	R17	15149	11667	11644	10497	9279	61.25
C20.F16	FALSE	FALSE	20	S	spermatophore	C	0.6508	0.772	High	1	94	b	F16	R17	20830	13828	13776	13569	13569	65.14
C20AG.F14	FALSE	FALSE	20	AG	accessory_gland	C	0.6508	0.772	High	1	94	b	F14	R14	19555	15104	14982	13964	13483	68.95
C20D.F15	FALSE	FALSE	20	D	digestive_tract	C	0.6508	0.772	High	1	94	b	F15	R13	35365	24635	24576	24027	24021	67.92
C20SV.F15	FALSE	FALSE	20	SV	seminal_vesicle	C	0.6508	0.772	High	1	94	b	F15	R18	6763	4869	4856	4843	4843	71.61
C20T.F14	FALSE	FALSE	20	T	testes	C	0.6508	0.772	High	1	94	b	F14	R22	9287	7071	7027	5398	3924	42.25
C124.F16	FALSE	FALSE	124	S	spermatophore	I	0.6867	0.766	High	1	93	a	F16	R04	18336	11898	11735	11389	11389	62.11
C124AG.F13	FALSE	FALSE	124	AG	accessory_gland	I	0.6867	0.766	High	1	93	a	F13	R09	5125	3479	3394	3215	2796	54.56
C124D.F14	FALSE	FALSE	124	D	digestive_tract	I	0.6867	0.766	High	1	93	a	F14	R07	26482	18133	18054	17625	17625	66.55
C124SV.F14	FALSE	FALSE	124	SV	seminal_vesicle	I	0.6867	0.766	High	1	93	a	F14	R11	17662	10684	10618	10231	9956	56.37
C124T.F15	FALSE	FALSE	124	T	testes	I	0.6867	0.766	High	1	93	a	F15	R01	20187	14340	14221	13475	9751	48.3
C18.F12	FALSE	FALSE	18	S	spermatophore	C	0.6979	0.766	High	1	91	c	F12	R22	27759	18461	18413	17851	17851	64.31
C18AG.F10	FALSE	FALSE	18	AG	accessory_gland	C	0.6979	0.766	High	1	91	c	F10	R17	21933	18123	18081	18017	18017	82.15
C18D.F16	FALSE	FALSE	18	D	digestive_tract	C	0.6979	0.766	High	1	91	c	F16	R11	30628	22639	22572	22067	21924	71.58
C18SV.F12	FALSE	FALSE	18	SV	seminal_vesicle	C	0.6979	0.766	High	1	91	c	F12	R19	22138	18109	17949	17298	15361	69.39
C18T.F10	FALSE	FALSE	18	T	testes	C	0.6979	0.766	High	1	91	c	F10	R24	8916	6599	6533	6472	6226	69.83
C28.F15	FALSE	FALSE	28	S	spermatophore	C	0.6479	0.766	High	1	92	b	F15	R03	28029	17482	17256	16881	16881	60.23
C28AG.F14	FALSE	FALSE	28	AG	accessory_gland	C	0.6479	0.766	High	1	92	b	F14	R01	19325	13505	13351	12228	8739	45.22
C28D.F15	FALSE	FALSE	28	D	digestive_tract	C	0.6479	0.766	High	1	92	b	F15	R07	24490	16716	16659	16327	16317	66.63
C28SV.F12	FALSE	FALSE	28	SV	seminal_vesicle	C	0.6479	0.766	High	1	92	b	F12	R12	65	48	48	48	48	73.85
C28T.F14	FALSE	FALSE	28	T	testes	C	0.6479	0.766	High	1	92	b	F14	R06	6101	4450	4374	3646	3085	50.57
C39.F15	FALSE	FALSE	39	S	spermatophore	D	0.7842	0.744	High	1	90	a	F15	R05	22784	15486	15239	14830	14806	64.98
C39AG.F13	FALSE	FALSE	39	AG	accessory_gland	D	0.7842	0.744	High	1	90	a	F13	R05	8950	4778	4633	4447	4447	49.69
C39D.F16	FALSE	FALSE	39	D	digestive_tract	D	0.7842	0.744	High	1	90	a	F16	R08	25744	17254	17199	16784	16784	65.2
C39T.F15	FALSE	FALSE	39	T	testes	D	0.7842	0.744	High	1	90	a	F15	R02	16780	12216	12169	10922	9249	55.12
C127.F13	FALSE	FALSE	127	S	spermatophore	I	0.6369	0.742	High	1	89	a	F13	R19	19556	10409	10228	10035	10015	51.21
C127AG.F15	FALSE	FALSE	127	AG	accessory_gland	I	0.6369	0.742	High	1	89	a	F15	R22	5265	3876	3865	2942	2239	42.53
C127D.F15	FALSE	FALSE	127	D	digestive_tract	I	0.6369	0.742	High	1	89	a	F15	R20	27559	19196	19098	18791	18791	68.18
C127SV.F13	FALSE	FALSE	127	SV	seminal_vesicle	I	0.6369	0.742	High	1	89	a	F13	R18	8368	6016	5996	5900	5794	69.24
C127T.F13	FALSE	FALSE	127	T	testes	I	0.6369	0.742	High	1	89	a	F13	R23	3760	2899	2820	2189	2077	55.24
C37.F11	FALSE	FALSE	37	S	spermatophore	D	0.7033	0.74	High	1	88	c	F11	R15	5974	3536	3484	3352	3335	55.83
C37AG.F09	FALSE	FALSE	37	AG	accessory_gland	D	0.7033	0.74	High	1	88	c	F09	R23	20293	15175	15030	11643	9315	45.9
C37D.F09	FALSE	FALSE	37	D	digestive_tract	D	0.7033	0.74	High	1	88	c	F09	R21	23089	16254	16210	15658	15658	67.82
C37SV.F10	FALSE	FALSE	37	SV	seminal_vesicle	D	0.7033	0.74	High	1	88	c	F10	R18	11867	8513	8381	8155	7254	61.13
C37T.F11	FALSE	FALSE	37	T	testes	D	0.7033	0.74	High	1	88	c	F11	R21	30354	20198	20100	19807	19677	64.83
C27.F10	FALSE	FALSE	27	S	spermatophore	D	0.5103	0.738	High	1	87	a	F10	R22	14977	10118	10042	9520	9520	63.56
C27AG.F11	FALSE	FALSE	27	AG	accessory_gland	D	0.5103	0.738	High	1	87	a	F11	R13	4448	3156	3121	2988	2646	59.49
C27D.F09	FALSE	FALSE	27	D	digestive_tract	D	0.5103	0.738	High	1	87	a	F09	R15	19758	13896	13850	13533	13508	68.37
